MF,MF_grad,r_snow,precip_grad,precip_corr,T0,r_ice,lapse_rate
7.740672081419531,-0.004254239449266141,0.0004566848442683982,0.0005214606185810598,1.7058129126694022,0.03735000266525405,0.0009133696885367964,-0.005
6.944998644767187,-0.0037636133387314256,0.0019534639068128873,0.0005825171699607301,1.656195658774596,0.020971786241665513,0.0039069278136257745,-0.005
6.959042581912832,-0.003714664776094742,0.0017632745867709927,0.0006193443408385069,1.610440148928423,0.024537397402095137,0.0035265491735419854,-0.005
7.2161705283402755,-0.00416975284340703,0.0017096274926768486,0.0003699831438086269,1.8214498816423554,0.0032221298890735086,0.003419254985353697,-0.005
7.031186171028765,-0.003865922199410228,0.0019450371173273017,0.0006338784370719374,1.6056519585971185,0.006815807259864779,0.0038900742346546033,-0.005
6.865424410207467,-0.0036333532241447425,0.0018202077325498503,0.0007997406708501861,1.4795972791531096,0.0003079330370886167,0.0036404154650997007,-0.005
7.164909885671615,-0.003846842696954873,0.0017226528176133085,0.0005465841138671686,1.7180588679571933,0.002349651323872293,0.003445305635226617,-0.005
7.180037605322123,-0.0040623044976789814,0.001541122599848668,0.0005878084634094022,1.6085020649316488,0.00213439560728902,0.003082245199697336,-0.005
7.1248666567011485,-0.003782653946742812,0.0011511129404063508,0.0008658107702116594,1.422362905889965,0.009988572937088401,0.0023022258808127016,-0.005
7.272735212181755,-0.0041319567725969465,0.0015970688483546286,0.0007119820612443877,1.5385711832128706,0.006520240382712192,0.0031941376967092572,-0.005
7.741179809082414,-0.0045206207632080605,0.0007396804687677617,0.0005627675649559174,1.6314930487421524,0.03160078580733628,0.0014793609375355235,-0.005
6.989232387652227,-0.0037282861319950307,0.0018640637328460946,0.0005788184079770096,1.6677187195096397,0.02108090912481103,0.003728127465692189,-0.005
7.284681147260624,-0.004259753978893934,0.001815632798974456,0.00045255140948995945,1.7557288626107885,0.005585509227516525,0.003631265597948912,-0.005
6.747659379911954,-0.003498198089005835,0.0019176159225850519,0.0009492621493924704,1.3662034938362162,0.02363630938894093,0.0038352318451701038,-0.005
7.446675674525204,-0.004130805607531486,0.0012255548310661037,0.0005203329177900414,1.716093817481604,0.010558188810335416,0.0024511096621322075,-0.005
6.851815588183778,-0.003647891852785356,0.0019423969991560176,0.000696864262722869,1.5478967048692285,0.007595600281929446,0.003884793998312035,-0.005
7.395954646179015,-0.004055272694609586,0.0011851775056991964,0.00040371479645704935,1.813819224731406,0.05943878731422282,0.002370355011398393,-0.005
7.102506808474682,-0.0039566127952700685,0.0017279700733660328,0.0005096656404118248,1.6916581429190458,0.002966457042922795,0.0034559401467320655,-0.005
7.095283674610546,-0.003926755763687055,0.0019875234048347904,0.0006180340435799261,1.648536882192817,0.022903212571765388,0.003975046809669581,-0.005
7.460683027341002,-0.004479795803676532,0.0014444715601005212,0.0004251845027051296,1.7313649913685185,0.07476379441215032,0.0028889431202010424,-0.005
6.902052514726274,-0.003663687608837338,0.001909100582011309,0.0005667827907436177,1.6659045953801437,0.012297506758955704,0.003818201164022618,-0.005
7.484844592580493,-0.003973796956753968,0.0007977790664637089,0.0005834223427681897,1.6727342302964263,0.006973223415729968,0.0015955581329274177,-0.005
6.686116218317375,-0.003337308527740087,0.0018095156071899234,0.0006955215947298863,1.5480334919460563,0.026936838305388837,0.0036190312143798468,-0.005
7.055487181511464,-0.003989748835333889,0.0017237654240506144,0.0005539696157584401,1.6185431460640818,0.023228121570939467,0.003447530848101229,-0.005
7.85679509285632,-0.00437855715725853,0.0004853062925253989,0.0004443213744699347,1.7924653182313026,0.019153324807928123,0.0009706125850507978,-0.005
6.899361940621958,-0.003594209175169319,0.0019435894141858557,0.0004502561642315094,1.7917106424729785,0.002267322621413513,0.0038871788283717113,-0.005
7.170029904244417,-0.0039764276567256646,0.001652110632487509,0.0005212417534087939,1.6898780088300969,0.03411743109082955,0.003304221264975018,-0.005
6.918828038665963,-0.0037290463102388365,0.0018287935046488349,0.00041838456611510423,1.7872025864035772,0.009388069286021566,0.0036575870092976697,-0.005
6.994849113552033,-0.0037940771774668007,0.0018273702793365674,0.0005542830225977789,1.66048634900601,0.0052707250232399225,0.0036547405586731347,-0.005
7.016562168392483,-0.003755686346213292,0.0016539099124783135,0.0008932858444928779,1.4173018750325947,0.007557245514358053,0.003307819824956627,-0.005
6.9046852104955185,-0.0035405799791721586,0.001815257880693979,0.0005854466986714324,1.6665616075935257,0.001604198044193884,0.003630515761387958,-0.005
7.316142936251895,-0.004215974592034018,0.001414281196669677,0.00032862112753334556,1.8410318110603878,0.04734260548483862,0.002828562393339354,-0.005
7.137879728619532,-0.003761445366676405,0.0010393382874343874,0.0009280221400034924,1.3711029196995335,0.014036738831198298,0.0020786765748687748,-0.005
7.26857382333175,-0.00397439084075397,0.0012924613041970924,0.0009273589032055202,1.3894403000094644,0.01926065287530665,0.0025849226083941848,-0.005
7.3699953953861215,-0.003983373264365452,0.001131438655934459,0.0007795998860035168,1.5121281053875006,0.015923748953999263,0.002262877311868918,-0.005
7.277437437109902,-0.00409923697585449,0.0014984770086304104,0.00042973030981844783,1.7631064929207072,0.017162850487861574,0.002996954017260821,-0.005
7.249898440947678,-0.004066655919946536,0.0016088918708081865,0.00044710101126352005,1.78619986216234,0.022105625347358826,0.003217783741616373,-0.005
6.754477081438654,-0.0035030956997766597,0.001895744636590355,0.0008138530634625922,1.4716611386999385,0.01227217103311957,0.00379148927318071,-0.005
7.11606553448344,-0.003984222606936428,0.0017942402658440723,0.0005675204080865753,1.6388871830178477,0.035884629446164835,0.0035884805316881447,-0.005
6.794397182357783,-0.00354261335339514,0.0018086845379828265,0.0006922941956322798,1.5419817019389892,0.018144636239649674,0.003617369075965653,-0.005
7.06867299405222,-0.0036464318797825024,0.001274203784706654,0.0004130175790499571,1.7905009146417628,0.05320076147685657,0.002548407569413308,-0.005
