rank,log_prob,area_rmse_km2,area_bias_km2,passed,MF,MF_grad,r_snow,precip_grad,precip_corr,T0
0,-682.2101085913656,0.3811823710509186,0.23999999999999963,True,7.082190866820101,-0.004108118371523418,0.0019891591918466734,0.000653563352118335,1.672304846116401,0.0005865538315333557
1,-682.2460093696399,0.38155384067433196,0.23833333333333329,True,7.105221447089764,-0.004125245900419499,0.0019715531417119764,0.000650353594162439,1.6768900331775534,0.000899647380963188
2,-682.2999662621277,0.3760983913818294,0.23499999999999943,True,7.067977696957045,-0.004086243460752845,0.0019693689578567197,0.0006013697788531977,1.712252612067507,5.853874525817322e-06
3,-682.3497642859055,0.3811823710509186,0.23999999999999963,True,7.02838724701636,-0.003995809569781778,0.0018637836167291438,0.0006774450391074038,1.647056550931853,0.0005722119437490854
4,-682.3578145273982,0.3765191451528943,0.2333333333333331,True,7.0063766785766655,-0.003971282956948112,0.0019620346904140615,0.0007250660179147451,1.6142119809153335,0.003155389325862282
5,-682.3625920981822,0.3760983913818294,0.23499999999999943,True,7.0418863081488965,-0.003968629473221428,0.0018394104793731777,0.0007563549032248583,1.5929573915431174,0.0020264381616523185
6,-682.3731289452462,0.3811823710509186,0.23999999999999963,True,7.0814863308672775,-0.004039059853718452,0.0018622628840393512,0.0007283096181770151,1.6176396748033275,0.0009652805064441327
7,-682.3746391265555,0.38155384067433196,0.23833333333333329,True,7.0723976019462205,-0.0040544850287856276,0.0018995488987758342,0.0008111683117569622,1.551789493752686,0.00039729654391723254
8,-682.3824681445135,0.38155384067433196,0.23833333333333329,True,7.074954724416279,-0.004056455744932098,0.0018943654619989951,0.0008113581461696014,1.551555611300771,0.00040483101497760816
9,-682.3930254825804,0.3760983913818294,0.23499999999999943,True,7.100913318902661,-0.004095317533593125,0.0018753578534374277,0.0007969681986849564,1.5587213743214587,0.001012925898515914
10,-682.3982993442794,0.37414346624434497,0.23166666666666677,True,7.031761173345356,-0.00402116401564629,0.0019564571753379893,0.0007314758780514021,1.6050944091983943,0.0028656719278460294
11,-682.398984738912,0.37892391496622896,0.23500000000000063,True,7.065130418569011,-0.004009870607908298,0.0019308388380507465,0.0007311379630130841,1.6208439927483071,0.002145430337805815
12,-682.4104914084753,0.37892391496622896,0.23500000000000063,True,7.065150064406056,-0.004010405508127889,0.0019310271847206126,0.0007310610930774176,1.6207705339575362,0.0023116348244116083
13,-682.4109559984174,0.3765191451528943,0.2333333333333331,True,7.073862408613972,-0.004016475441629447,0.0019143763852089123,0.0007289885887625636,1.6222606062781981,0.0022073446273860493
14,-682.4125326854855,0.37414346624434497,0.23166666666666677,True,7.113075252119756,-0.004061635424032134,0.0017898968712424443,0.0006895745945017932,1.6402555016582134,0.001895060187732815
15,-682.4192199602493,0.3760983913818294,0.23499999999999943,True,7.021911274074135,-0.003996701891368917,0.001892215423428211,0.0006457869626791419,1.6711304875303474,0.0008499693657378657
16,-682.4233441493241,0.38155384067433196,0.23833333333333329,True,7.081165600828709,-0.0040360364755660984,0.001912762928273942,0.0006766750412170217,1.6633107612035205,0.002436363279330351
17,-682.4235703692154,0.3811823710509186,0.23999999999999963,True,7.132575881507448,-0.0041301704369273076,0.0018635489959042302,0.000775323411096848,1.5770589638246504,0.001389307077279649
18,-682.4250426195254,0.3760983913818294,0.23499999999999943,True,7.122830747492984,-0.004081172420059263,0.001748410990445634,0.0007515264160053252,1.5895176390032408,0.0011994916982619695
19,-682.4254771251785,0.39008546072196437,0.24333333333333348,True,7.027387814160712,-0.0039993179603814676,0.001939574856555987,0.0007056138497330617,1.6345840703374335,0.0009099330419925322
20,-682.4259214921394,0.3760983913818294,0.23499999999999943,True,7.215229599796646,-0.004168446084150114,0.0017001980754191648,0.0007047426251907862,1.63349639105434,0.0005933959713426612
21,-682.4269505471316,0.37414346624434497,0.23166666666666677,True,7.099481883479818,-0.004052641258419473,0.0018198081246453325,0.0006861106376848183,1.6431535593433881,0.0018869969610806326
22,-682.4277105765967,0.3765191451528943,0.2333333333333331,True,7.192283894121171,-0.004147013835757312,0.0017373253898958026,0.000642468107661208,1.682534261619821,0.0007893759258760468
23,-682.4339286249267,0.3765191451528943,0.2333333333333331,True,7.045027074315945,-0.003989649021666428,0.0019574773095923036,0.0007402638229515668,1.612896662791979,0.001794119545163426
24,-682.4414110462816,0.3811823710509186,0.23999999999999963,True,7.01394979764649,-0.003964486588563789,0.0018952658777415862,0.0007946317027099955,1.563693411144782,0.00193128822535619
25,-682.4470061934669,0.3769836424391203,0.23166666666666558,True,7.046294965191378,-0.003995651765073833,0.0019623101747274427,0.000731264232877453,1.6185094251164591,0.0015786174291420388
26,-682.4485952294925,0.3811823710509186,0.23999999999999963,True,7.136772875091137,-0.004133600964574504,0.0018570972855476264,0.0007734279430606959,1.5786633548702083,0.0015058544590902181
27,-682.4520233427518,0.3811823710509186,0.23999999999999963,True,7.1370200693256285,-0.004130452679621877,0.00184530661433011,0.0007715680962206194,1.5792238455595338,0.0020036086407225068
28,-682.4531310845972,0.3765191451528943,0.2333333333333331,True,7.093254074760748,-0.004044276395534742,0.0018643264755372002,0.0007598619634325509,1.5926831428803343,0.0025559773912064467
29,-682.4597042453308,0.3765191451528943,0.2333333333333331,True,7.023796045951917,-0.003954925256145538,0.0019328761192305669,0.000695812677894054,1.6457741415210343,0.0029991043249353623
30,-682.4665880643818,0.3765191451528943,0.2333333333333331,True,7.0826495135865155,-0.004020017736007474,0.0018211863557034583,0.0007104053813746862,1.627296534776297,0.0040432011648025516
31,-682.4731231219911,0.3811823710509186,0.23999999999999963,True,7.07536984186881,-0.004061853112308634,0.0018881230317903486,0.0007597162221825902,1.5873866287018512,0.002842867256114712
32,-682.473393767384,0.3765191451528943,0.2333333333333331,True,6.979167891714246,-0.003917817126449705,0.0019680130413841958,0.0007181955042462467,1.6239847996304415,0.0034659276684524815
33,-682.4756171324555,0.3765191451528943,0.2333333333333331,True,7.089488828699415,-0.004020398667816038,0.0018002741787821273,0.0007127138522553267,1.6253930566647916,0.0038818124487590804
34,-682.4774959640887,0.3760983913818294,0.23499999999999943,True,7.2150385322822155,-0.0040952464973031425,0.0015071768160342907,0.0007440607604394457,1.599787288465217,8.50991992242707e-05
35,-682.4796599055347,0.38155384067433196,0.23833333333333329,True,7.116220948416474,-0.004121481828831962,0.001961272940003424,0.0007570611111975308,1.598068865530601,0.0018061514773166486
36,-682.4881082242428,0.3760983913818294,0.23499999999999943,True,7.157899186498854,-0.004066025056179084,0.0016705227356537701,0.0006777993591077522,1.6555275623147996,0.0034161193212925807
37,-682.4912455321928,0.38155384067433196,0.23833333333333329,True,7.1189385482375815,-0.004122846900271471,0.0019571009801408537,0.000756115822815583,1.5989760959904327,0.0018831524613123242
38,-682.494297135942,0.3746109092556349,0.22999999999999923,True,7.0255317185817985,-0.003973007802247892,0.0019154631650259212,0.0007863818532860238,1.5693536290897574,0.002617542509930489
39,-682.495716778187,0.3811823710509186,0.23999999999999963,True,7.070099907959466,-0.004058299322836321,0.001885381404602723,0.0007581164332167561,1.5870182713049417,0.0028590651118802247
40,-682.4982535630725,0.3765191451528943,0.2333333333333331,True,7.172770684733716,-0.004158401070790917,0.0018234360648993835,0.0006955004324476139,1.6385843948214602,0.0021800476517452403
41,-682.4987917758257,0.38155384067433196,0.23833333333333329,True,7.057476020627915,-0.003994899518624652,0.001829717195743315,0.000793102830019553,1.5657207878135322,0.0026667706766415502
42,-682.5008195555582,0.3769836424391203,0.23166666666666558,True,7.0651224789723965,-0.00401971455559574,0.001924696457337932,0.0007256969782092813,1.6194177360592283,0.0033859534464065182
43,-682.5053458592524,0.3787919393721738,0.2383333333333321,True,7.137941494358433,-0.004081391794783563,0.0016967139641397523,0.0007396655434719253,1.5996771039889743,0.0013355066054066955
44,-682.5058604635568,0.37414346624434497,0.23166666666666677,True,7.055686466094199,-0.0040723530323016534,0.0019573990972875247,0.0007391180391274166,1.5948159176332826,0.002461771273763307
45,-682.5102199850041,0.37414346624434497,0.23166666666666677,True,7.058575140534563,-0.0040738540172982245,0.0019505655746734937,0.0007382466954719525,1.5954634013295756,0.0025596397268769664
46,-682.5122316168329,0.3760983913818294,0.23499999999999943,True,7.231528619663049,-0.004163132531253844,0.0016437793691241238,0.0007272968709466253,1.6161984262439981,0.0014001512954236878
47,-682.5131726470554,0.3811823710509186,0.23999999999999963,True,7.117644881052182,-0.004129207244949661,0.001946969970434432,0.0007648405460662065,1.5894014679256099,0.0021168548783572706
48,-682.5146047239627,0.3765191451528943,0.2333333333333331,True,7.097617606227899,-0.004048113187718747,0.001856028960510035,0.0007611111282637042,1.591558088762071,0.003277712308028937
49,-682.5161178414014,0.37892391496622896,0.23500000000000063,True,7.052645648340334,-0.003976024470517939,0.0019188132146210923,0.0007157973098451487,1.6349114698216394,0.0026388805811524583
50,-682.5178947557354,0.3760983913818294,0.23499999999999943,True,7.117543903243695,-0.003986611783923554,0.0016598959098138646,0.0008080220853087079,1.560447724577493,0.0012699426956224447
51,-682.5183138734159,0.37414346624434497,0.23166666666666677,True,7.099766233488825,-0.004104062179219115,0.0018703863036999015,0.0007342358779466435,1.598063442006113,0.0026457505013937704
52,-682.521211737983,0.37414346624434497,0.23166666666666677,True,7.074621477361346,-0.004004908791281373,0.0017249565950816135,0.0007234536631511472,1.6066694976238718,0.0011422098682879814
53,-682.5221878879852,0.3811823710509186,0.23999999999999963,True,7.094103419579347,-0.004038484132105691,0.0018752893051714027,0.0006917591597034167,1.6518844470524665,0.0031559741715016278
54,-682.5237784613498,0.3765191451528943,0.2333333333333331,True,7.096002356928028,-0.004019316775182948,0.0018517697243038327,0.0007164812771497824,1.6325945453467938,0.0028045960503698887
55,-682.5249842575952,0.38155384067433196,0.23833333333333329,True,7.161722014980377,-0.004116777054931091,0.0018197750862632795,0.0007886740141779639,1.5768016150594582,0.0005027133451702779
56,-682.5269239953666,0.38360135557633246,0.24166666666666595,True,7.043039712896945,-0.00398536824906212,0.0018940917904831803,0.0006527092476034433,1.680503220030111,0.0015756578396375579
57,-682.5278008520327,0.3760983913818294,0.23499999999999943,True,7.132582647852039,-0.004079229469474377,0.0017154237024705134,0.0007493991944737473,1.5913159366891803,0.0027611688102891635
58,-682.530948184059,0.3811823710509186,0.23999999999999963,True,7.022854363744394,-0.003954800338609383,0.0019204665155822193,0.0006419130837649907,1.6923552616984525,0.00028935399332338275
59,-682.5344533369889,0.37414346624434497,0.23166666666666677,True,7.0813691521946005,-0.0040107468053471465,0.0017140098768614097,0.0007222979512592116,1.6075066614402025,0.0011646636873277583
60,-682.5354175038615,0.3765191451528943,0.2333333333333331,True,7.089409144698369,-0.004017944649410695,0.001794806210569347,0.0007082418868566267,1.628738695896625,0.004788231114071777
61,-682.5365616405797,0.3811823710509186,0.23999999999999963,True,7.014523464703234,-0.003963164007617387,0.001846298635435464,0.0006990654207142506,1.6329956693653818,0.00047060405733518945
62,-682.5380393607652,0.3760983913818294,0.23499999999999943,True,7.045842604342244,-0.004076383565984367,0.001911523883975922,0.0006296190749047111,1.6752304445191253,0.00010887957063796075
63,-682.5382648558702,0.3765191451528943,0.2333333333333331,True,7.04287519887556,-0.003964745151254231,0.0019287084015105268,0.0007083576597446643,1.6404331454828154,0.0027089885176067334
64,-682.5409790477318,0.38155384067433196,0.23833333333333329,True,7.046306392907356,-0.0039624994389593346,0.0018663311678489844,0.0006420051231159992,1.692711984629067,0.0007828868030073577
65,-682.541022550456,0.3785058343892037,0.23666666666666694,True,7.103677211771259,-0.004024508347209152,0.001835251441478425,0.0007203215332847899,1.6296662943549292,0.002835782527681966
66,-682.5416597437712,0.38155384067433196,0.23833333333333329,True,7.0489827997806795,-0.0039635987713392325,0.0018554608658873989,0.0006336973171649862,1.698733389742746,0.000339831633845402
67,-682.5417034622425,0.38360135557633246,0.24166666666666595,True,7.068546368238309,-0.004018608267387605,0.0019190148417563351,0.00069794021023437,1.6478556331878509,0.003108919246989729
68,-682.5428101601982,0.3811823710509186,0.23999999999999963,True,7.12512237265642,-0.004077483178031105,0.0018456128489029973,0.0006960843036009843,1.6470013194165705,0.003008704621646415
69,-682.5431047531501,0.3765191451528943,0.2333333333333331,True,7.045115320558934,-0.004014262402652927,0.0019001561366471722,0.0008240364081383773,1.5397481840044975,0.0020354260163421914
70,-682.5451763247114,0.38155384067433196,0.23833333333333329,True,7.049463934459948,-0.003963937695069434,0.001854673801501125,0.0006340721843922743,1.6984767568778354,0.0003478906995815004
71,-682.545473631274,0.3811823710509186,0.23999999999999963,True,7.116077930729548,-0.004136911192501259,0.0019346988166885283,0.0007754083397512718,1.5778042296988206,0.002399926198339325
72,-682.5472701329866,0.38155384067433196,0.23833333333333329,True,7.158041953919535,-0.004064155038485343,0.0016631835365336256,0.0006880527159604968,1.6477186541726523,0.003719634699822885
73,-682.5512578789338,0.38360135557633246,0.24166666666666595,True,7.121011546653039,-0.004128532775595407,0.0019359185161354623,0.0007477437675353823,1.6036372431943882,0.0021142640795791916
74,-682.5627262775895,0.3760983913818294,0.23499999999999943,True,7.228954603120502,-0.004155272288248328,0.0016333748959057866,0.000732572896282681,1.6119121137034287,0.0018732356327362306
75,-682.5633497420537,0.38155384067433196,0.23833333333333329,True,7.037055640340275,-0.003953571451601746,0.0018789818408618674,0.0006344724779114618,1.6991047641045887,0.00018678139949215855
76,-682.563567867328,0.37414346624434497,0.23166666666666677,True,7.0913465697751725,-0.004103092721671017,0.001892506281947433,0.0007392202462544157,1.5934045741180685,0.00267372720394941
