rank,composite_score,snowline_rmse_m,area_rmse_km2,log_prob,selected,MF,MF_grad,r_snow,precip_grad,precip_corr,T0
0,0.326851504454784,87.1635201698261,0.3624224054884022,-683.0401140692233,True,7.057018647983017,-0.004094380906745981,0.001963919516023829,0.0007516313371323912,1.5783470735481537,0.004226140378195293
1,0.3355994453204902,87.23141530825356,0.3624224054884022,-683.0523772930541,True,7.050966943444336,-0.004089327213853682,0.0019822270386011635,0.0007469086639671342,1.5824202916095103,0.004116919961559828
2,0.41742716098438876,86.32691457375812,0.3685105154537671,-682.9411457473168,True,7.142823878717536,-0.0041651217675930845,0.001863816980659817,0.0007603512145569447,1.5763548335048885,0.0037558963005794414
3,0.4478065378301863,86.32282404295302,0.3694590640382234,-682.964391211463,True,7.203928822295082,-0.004291583107625585,0.0018646021202943495,0.0006709998181300677,1.6367986196684763,0.00010833613744111632
4,0.4535689062302464,84.78386812561591,0.3757215280851849,-683.0588598710863,True,7.112684890195871,-0.0041160312907517526,0.0018122483635133369,0.0008830058532982513,1.4922410396214942,0.002165350477529946
5,0.45455584281699335,84.79152800777618,0.3757215280851849,-683.0325671790331,True,7.111647867630429,-0.004118857029219156,0.0018071870617531623,0.0008733001678340302,1.4975517419013376,0.0018495301930721464
6,0.4554053806867106,84.79812150127931,0.3757215280851849,-683.0163582221026,True,7.114157241274751,-0.004119492641210798,0.0018013695637369214,0.0008724596690314849,1.4981764624454506,0.0018677584586598833
7,0.4556110400022693,88.31998880874717,0.3618010503025107,-683.0399405169055,True,7.312611942015214,-0.004226880494575787,0.0014358822316204068,0.00065977479334601,1.6561204261400109,0.0007402063469528868
8,0.4904503995579437,84.97481255065647,0.3760983913818294,-682.7870145815086,True,7.21493216171507,-0.004313419956307485,0.0019729667115725466,0.0007106633575334781,1.6220167423883372,0.0005938968408093111
9,0.5028765490602374,85.07125526255064,0.3760983913818294,-683.0065475909568,True,7.013928608347128,-0.004052459686127959,0.0019908808351584255,0.0008774881839803885,1.4923619176228007,0.0042638298695716935
10,0.5087214391124648,85.21192187130855,0.3757215280851849,-683.0455161916443,True,7.176547864870189,-0.00419870126482124,0.0017333409742771413,0.000794747804487426,1.5467313330038754,0.004128782899542392
11,0.5120348708579072,85.14233547854222,0.3760983913818294,-683.0206924229766,True,7.0268666982452785,-0.004064243497202106,0.001962394016827223,0.000870432506571992,1.4965282355960643,0.0036486221922334937
