index,MF,MF_grad,r_snow,r_ice,precip_grad,precip_corr,T0,lapse_rate,composite_score,selected,snowline_rmse_m,area_rmse_km2,log_prob,rank
0,5.587803543008911,-0.0077267350315149,0.0115418734406582,0.0134976870317948,0.0011698134865325,1.846503334549708,0.0197180091700613,-0.0022666896559154,543.1186479276131,True,111.0,0.43,-543.1186479276131,0
1,5.477158073696361,-0.0074720281009944,0.0117486887493276,0.0127004540743589,0.0008588711841523,2.12274792653659,0.101616788323381,-0.0021753025068444,543.1186479276131,True,111.0,0.43,-543.1186479276131,1
2,5.5611919087310735,-0.0075518615026147,0.0114493939266745,0.0127053198936031,0.0011376550103143,1.8747753010430712,0.0027253511226523,-0.0022494892013191,543.1186479276131,True,111.0,0.43,-543.1186479276131,2
3,5.148280067956808,-0.0068649023268001,0.0113279556407731,0.0146749132865817,0.0008303120936538,2.151200236188658,0.0290995614749855,-0.0022688687864707,543.1186479276131,True,111.0,0.43,-543.1186479276131,3
4,5.622726699432724,-0.0077486641973651,0.0112105877896372,0.0135525735280373,0.0009939660970769,2.037712163802049,0.0797996720277331,-0.0020768287489017,543.1186479276131,True,111.0,0.43,-543.1186479276131,4
5,6.221038995115303,-0.0084337614949588,0.011639716747252,0.0111041293161869,0.0007512621114825,2.198065240593556,0.0031072398344964,-0.0022986812781516,543.1186479276131,True,111.0,0.43,-543.1186479276131,5
6,5.251015224807228,-0.0074348371137427,0.0119085014530012,0.0135706545720522,0.0012425271158282,1.7831555018714929,0.0068502187761532,-0.0022801205471982,543.1186479276131,True,111.0,0.43,-543.1186479276131,6
7,6.4139698504779705,-0.0086533713715564,0.0109012453870834,0.0100994841185704,0.0008937196593682,2.1123039687909952,0.1425743293382257,-0.0019352252638687,543.1186479276131,True,111.0,0.43,-543.1186479276131,7
8,5.427546881964901,-0.0075522638829112,0.012071156270584,0.0133320283730828,0.0013022893986612,1.7635426192344203,0.0272661060323922,-0.0022944388636419,543.1673624130027,True,111.0,0.43,-543.1673624130027,8
9,5.5053042452370144,-0.0073924752550242,0.0113173367762163,0.0123843006432392,0.0009007557319865,2.0814275542943177,0.1120319309012124,-0.0020957036068589,543.1673624130027,True,111.0,0.43,-543.1673624130027,9
10,5.46977336123347,-0.0072911293491502,0.0112074766920822,0.0136797444447623,0.0007570362828925,2.221045706734256,0.0592167953931324,-0.0022352054209284,543.252332781383,True,111.0,0.43,-543.252332781383,10
