year,glacier_wide_balance_mean,glacier_wide_balance_std,glacier_wide_balance_p05,glacier_wide_balance_p25,glacier_wide_balance_p50,glacier_wide_balance_p75,glacier_wide_balance_p95,area_km2_mean,area_km2_std,area_km2_p05,area_km2_p25,area_km2_p50,area_km2_p75,area_km2_p95,volume_km3_mean,volume_km3_std,volume_km3_p05,volume_km3_p25,volume_km3_p50,volume_km3_p75,volume_km3_p95,mean_thickness_m_mean,mean_thickness_m_std,mean_thickness_m_p05,mean_thickness_m_p25,mean_thickness_m_p50,mean_thickness_m_p75,mean_thickness_m_p95,total_annual_runoff_mm_mean,total_annual_runoff_mm_std,total_annual_runoff_mm_p05,total_annual_runoff_mm_p25,total_annual_runoff_mm_p50,total_annual_runoff_mm_p75,total_annual_runoff_mm_p95,peak_daily_discharge_m3s_mean,peak_daily_discharge_m3s_std,peak_daily_discharge_m3s_p05,peak_daily_discharge_m3s_p25,peak_daily_discharge_m3s_p50,peak_daily_discharge_m3s_p75,peak_daily_discharge_m3s_p95,mean_annual_discharge_m3s_mean,mean_annual_discharge_m3s_std,mean_annual_discharge_m3s_p05,mean_annual_discharge_m3s_p25,mean_annual_discharge_m3s_p50,mean_annual_discharge_m3s_p75,mean_annual_discharge_m3s_p95,total_annual_discharge_m3_mean,total_annual_discharge_m3_std,total_annual_discharge_m3_p05,total_annual_discharge_m3_p25,total_annual_discharge_m3_p50,total_annual_discharge_m3_p75,total_annual_discharge_m3_p95
2026,-0.5095879877167565,0.005830167502607773,-0.5179341479675343,-0.5141982930843463,-0.5106113794254075,-0.5049435317777236,-0.5001431182985792,40.109999999999985,1.4210854715202004e-14,40.11,40.11,40.11,40.11,40.11,6.8722845819338705,3.197442310920451e-14,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,171.33594071139012,1.1084466677857563e-12,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,6703.786765327999,25.181726354765278,6662.473909395222,6686.790184342186,6704.394350934452,6722.221455753685,6742.143252521652,39.57548815026438,0.16903977349714888,39.31626827023008,39.47586990287499,39.57265938842424,39.67984802460228,39.846608037700975,7.7089427594533815,0.02890468393955041,7.661853983284008,7.688870856218584,7.709007721218593,7.7298425189763815,7.752892523301803,243109218.8621219,911538.1127176613,241624227.21684444,242476231.32170925,243111267.49634954,243768313.67843917,244495218.61484566
2027,-1.8613258119906857,0.0061246893425413555,-1.8710748088075342,-1.8657108981740298,-1.861307629313015,-1.8572159462896736,-1.8513639766838794,40.100000000000186,1.8474111129762605e-13,40.1,40.1,40.1,40.1,40.1,6.84956555633853,0.00025980048163594226,6.849193639673697,6.849360114633044,6.849519952561502,6.8497725198416095,6.849986433032504,170.81210863687102,0.006478815003390308,170.80283390707476,170.80698540232027,170.8109713855736,170.81726982148652,170.82260431502505,7256.664926609443,27.52860796263448,7210.389063755754,7239.94970261255,7255.470153016609,7275.246326176969,7302.436599384148,32.31610615651869,0.1270453330953072,32.10166345519926,32.23722237676442,32.30770926028646,32.39537858440516,32.53252114388185,8.37734158127538,0.03171827082009743,8.323956108841301,8.357996917325268,8.376096930363824,8.398810087908902,8.42995071231081,264187844.10710052,1000267.388582593,262504279.84841928,263577790.78476968,264148592.79595357,264864874.93229517,265846925.66343373
2028,-1.5168813889038415,0.006068546025910453,-1.5266256768851711,-1.5204442147069248,-1.5177053996109553,-1.5124688878801562,-1.507004993395999,40.020000000000245,2.4158453015843406e-13,40.02,40.02,40.02,40.02,40.02,6.767259696069315,0.00042344159180839617,6.766615128860529,6.766979863859552,6.767197369246791,6.767552746177703,6.767954327829584,169.09694392976814,0.01058074942050004,169.0808378026119,169.08995162067845,169.09538653790082,169.104266521182,169.114301045217,7479.814577569688,27.67121976529398,7434.114997734863,7462.314498808157,7479.307330696758,7498.761710617767,7523.164713332146,36.14429717714848,0.14788890688067394,35.90704926418633,36.05700994792757,36.1398438954879,36.2382935628783,36.388968512606084,8.499322717983183,0.03130588151989096,8.447392678064038,8.479233123836202,8.49865184102761,8.520781216869857,8.547950330045946,268768982.7171516,989967.1077745992,267126830.2228122,268133701.5351979,268747767.97771156,269447551.9523454,270306704.5168449
2029,-2.034049957758537,0.006426846875046337,-2.0438866306232,-2.0385496849961404,-2.034546440588355,-2.0292532815649547,-2.0230498580001375,39.91932000000005,0.0025174590364108176,39.91,39.92,39.92,39.92,39.92,6.70050670713401,0.0006771884978307259,6.699430987658205,6.7000799920574865,6.70040840650606,6.700995780479487,6.701603031532747,167.85122373421063,0.014899449924515107,167.8293754785237,167.84006249550254,167.84845670886796,167.86246525575626,167.87582744320508,7786.025487079786,29.150260436939146,7737.841220722125,7768.5604783047875,7785.541129196627,7806.369034855006,7833.262465452873,36.15739148364637,0.1412129285826984,35.9185370590445,36.0739460777042,36.15131682828617,36.245119411192746,36.400124593843266,9.087904300461046,0.033879112686040165,9.032007637491958,9.067686287193188,9.086214319282677,9.111595933763999,9.142898587247116,286596150.01933986,1068411.6976669647,284833392.85594636,285958554.7529244,286542854.7728985,287343289.3671815,288330449.84742504
2030,-0.5510347449001483,0.004660201651221875,-0.5581622775711078,-0.5542555456904208,-0.5512450025381138,-0.5477606078023213,-0.543160828879665,39.73999999999983,1.7053025658242404e-13,39.74,39.74,39.74,39.74,39.74,6.6118159104595575,0.0009271331638852752,6.6102862674336045,6.611231765602501,6.611708996312652,6.612440144800331,6.613291175781691,166.37684726873567,0.023329973927663256,166.33835599983905,166.36214810273026,166.3741569278473,166.39255522899674,166.41397020084779,5492.094163966548,20.666360048490695,5457.704903933511,5479.517985945287,5491.583339785027,5506.322064489238,5525.677362446335,31.130946987512342,0.12188759450353454,30.921457952433165,31.05555846743121,31.12309032083432,31.20782313514542,31.337707996578512,6.29863869904004,0.023682339072560517,6.259168556286985,6.2842747641498065,6.298057359283029,6.315025774209925,6.337152987391792,198633870.0129266,746846.2449922678,197389139.59106636,198180888.9622283,198615536.8823496,199150652.81548417,199848456.61038753
2031,-0.4361279904558474,0.004245565866943889,-0.44221460953215985,-0.4392653434609709,-0.4366108020739882,-0.43278293215038516,-0.4290265895950482,39.708919999999914,0.003582401429208463,39.7,39.71,39.71,39.71,39.71,6.587500055205322,0.0010997786889838125,6.585677574619567,6.586839079751995,6.587319632559733,6.588297089271413,6.589280492535132,165.8947169119081,0.02085761910208583,165.8650624009652,165.87930449303832,165.88936229100509,165.91027673813682,165.9337330386686,5342.902412475978,19.959629704322076,5310.265248678461,5330.757718292021,5342.430248006474,5356.8022183149915,5374.750662041005,32.007566888672905,0.13061105895407416,31.79954854464398,31.930810553418755,32.004300437840556,32.08896991154744,32.22301374250805,6.037561001733183,0.022368641774461448,6.0009809379464585,6.023874470029782,6.0369502908950174,6.052828326361196,6.073440583953622,190400523.75065753,705417.4869994172,189246934.8590795,189968905.2868592,190381264.37366527,190881994.10012668,191532022.2555614
2032,-0.9638458230241135,0.0042972532111698125,-0.9708429369975591,-0.9665433229909592,-0.9643210026393939,-0.9606219836854618,-0.9575051827477591,39.67116000000007,0.003202249209539426,39.67,39.67,39.67,39.67,39.68,6.568287054353717,0.001255157909452621,6.5662652898961955,6.567482282613505,6.568059282732172,6.5692600453329355,6.570358016047698,165.56831291697964,0.025323987126074116,165.52219031752446,165.55286822822046,165.5674132274306,165.58655910929292,165.6093855891347,5796.11660066047,21.601432139942826,5760.164575009181,5782.940223295578,5795.593904099179,5810.860420988015,5830.518975683416,32.7448438455936,0.12951012672559328,32.52327510042479,32.661612788849865,32.734677530644404,32.826427965861015,32.9640994311462,6.362384111474835,0.023477359231939395,6.3229144170324645,6.347782296291737,6.361652184067943,6.3783008241002666,6.399771194917351,201193855.32670185,742410.4445760795,199945728.86116737,200732110.88625586,201170710.02547014,201697179.98002827,202376124.63415444
2033,-2.0586948658941355,0.0066760645731912885,-2.0689944093041155,-2.063047387348438,-2.059245994980573,-2.0538489333656877,-2.047869818406254,39.57079999999986,0.002712931993249573,39.57,39.57,39.57,39.57,39.58,6.5260292478972035,0.0014360518071731632,6.523730116119897,6.525103282776334,6.525776292755763,6.5271177693552564,6.528398849954718,164.92032565386762,0.03124821241954482,164.86555764771032,164.90025986293486,164.9172679493496,164.9428263267277,164.9684726268853,7771.124034912383,29.112934259707252,7723.2762501734005,7752.589528758594,7770.011918087968,7790.98870533741,7817.475807022755,36.82518939960553,0.14741348934119233,36.5789073916144,36.73701673785039,36.817721249595834,36.92000493392088,37.07741923904041,8.896287090177475,0.03319218493219487,8.841392419360524,8.874631153999765,8.894937504727233,8.919301588761568,8.948962731595014,280553309.6758368,1046748.7440216987,278822151.3369535,279870368.0725365,280510749.149078,281279094.90318483,282214488.7035803
2034,-1.0348285772971986,0.0044618900051320316,-1.042808737054448,-1.0375898739438214,-1.0349944877462196,-1.0320974347740415,-1.0274070977426746,39.38376,0.005464650034539667,39.38,39.38,39.38,39.39,39.39,6.436491738941016,0.0016712402124666296,6.433788331649806,6.435474801968629,6.43622111763111,6.437729045121778,6.439213952657431,163.43009566386456,0.02584234143851663,163.38699650522037,163.41403784625777,163.4296942367306,163.44232098510165,163.4733168991478,5296.8976184286785,19.285714117716868,5264.2379625416315,5285.49835869112,5296.356540660139,5309.902146796314,5328.132191269118,32.5405121618651,0.1265731354988959,32.32885728311652,32.466024527606656,32.53054694855936,32.62227862317596,32.761342831017096,6.150522544476223,0.022147878741879196,6.113662788772624,6.137822242038263,6.149881968580489,6.165579498453695,6.187595774834289,193962878.96260208,698455.5040039015,192800469.70673347,193562362.22491866,193942677.7611543,194437715.06323573,195132020.35517415
2035,-2.41146950485631,0.007778827871944833,-2.424052006519284,-2.4168062523450837,-2.4122577165315295,-2.4054574722902533,-2.3997060476718364,39.31847999999988,0.0035902089075699802,39.31,39.32,39.32,39.32,39.32,6.391487027573535,0.0018629555999166538,6.388459037144586,6.390434106756692,6.391200914152479,6.392867121071375,6.3945302690083325,162.55681741969775,0.03983147018187137,162.50676227973034,162.53013534158123,162.54466523590412,162.5856338014083,162.62793156175823,7991.946448165528,29.54152763026352,7942.730221933592,7973.456198503949,7991.262153525944,8012.672420192209,8038.322809589871,34.369723774765966,0.13277827662353917,34.14494868113064,34.2948555684073,34.36370923796596,34.452639760506464,34.599354126782295,8.990628869747315,0.0329346423640258,8.936157064587757,8.969836487412072,8.990008521027365,9.014390277221729,9.042697248161954,283528472.0363513,1038626.88159192,281810649.18883955,282872763.4670271,283508908.71911895,284277811.7824644,285170500.4180354
