year,glacier_wide_balance_mean,glacier_wide_balance_std,glacier_wide_balance_p05,glacier_wide_balance_p25,glacier_wide_balance_p50,glacier_wide_balance_p75,glacier_wide_balance_p95,area_km2_mean,area_km2_std,area_km2_p05,area_km2_p25,area_km2_p50,area_km2_p75,area_km2_p95,volume_km3_mean,volume_km3_std,volume_km3_p05,volume_km3_p25,volume_km3_p50,volume_km3_p75,volume_km3_p95,mean_thickness_m_mean,mean_thickness_m_std,mean_thickness_m_p05,mean_thickness_m_p25,mean_thickness_m_p50,mean_thickness_m_p75,mean_thickness_m_p95,total_annual_runoff_mm_mean,total_annual_runoff_mm_std,total_annual_runoff_mm_p05,total_annual_runoff_mm_p25,total_annual_runoff_mm_p50,total_annual_runoff_mm_p75,total_annual_runoff_mm_p95,peak_daily_discharge_m3s_mean,peak_daily_discharge_m3s_std,peak_daily_discharge_m3s_p05,peak_daily_discharge_m3s_p25,peak_daily_discharge_m3s_p50,peak_daily_discharge_m3s_p75,peak_daily_discharge_m3s_p95,mean_annual_discharge_m3s_mean,mean_annual_discharge_m3s_std,mean_annual_discharge_m3s_p05,mean_annual_discharge_m3s_p25,mean_annual_discharge_m3s_p50,mean_annual_discharge_m3s_p75,mean_annual_discharge_m3s_p95,total_annual_discharge_m3_mean,total_annual_discharge_m3_std,total_annual_discharge_m3_p05,total_annual_discharge_m3_p25,total_annual_discharge_m3_p50,total_annual_discharge_m3_p75,total_annual_discharge_m3_p95
2026,-1.3965650065200583,0.005044229455855024,-1.4050185008293516,-1.399973038770554,-1.3965139297247493,-1.3932810749580093,-1.3889595767299459,40.109999999999985,1.4210854715202004e-14,40.11,40.11,40.11,40.11,40.11,6.8722845819338705,3.197442310920451e-14,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,171.33594071139012,1.1084466677857563e-12,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,6507.155484957349,32.40187767608149,6453.399850781868,6484.308382547999,6505.364823703645,6531.701359878811,6559.6526042063,44.316864683978075,0.25836105448561425,43.89468980219364,44.13891863480741,44.33735164074426,44.50964961365881,44.71232436014771,7.641719371388892,0.038122768735365305,7.5785403375711775,7.614629051495601,7.639642864449803,7.670585443800764,7.70353707726177,240989262.0961201,1202239.6348384798,238996848.08564466,240134941.76796532,240923777.373289,241899582.5557009,242938745.26852718
2027,0.7502975598300057,0.009773619482189855,0.735744129043074,0.7417735083716863,0.7508136215469186,0.7577875700314539,0.7663388293000671,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.8101618794637835,0.00022326214683796836,6.809787720178549,6.810011036881504,6.810164140168829,6.810307229237628,6.810498502648243,169.95662289652572,0.005571803015670704,169.947285255267,169.95285841980296,169.95667931541874,169.96025029292804,169.96502377460052,5264.664436256766,25.90437284938743,5221.247194345271,5245.967532045749,5264.3309804660375,5283.462662537976,5306.421931615558,39.0257525462497,0.20447086816637497,38.683301862135835,38.879834817639406,39.02125440413442,39.18192650535529,39.366340730935384,6.138942082137443,0.030173198200305635,6.088296337509961,6.1171996686805,6.138196342717812,6.1605524119782356,6.187538904872908,193597677.5022864,951541.9784448381,192000513.29971415,192912008.75150824,193574159.86394894,194279180.86414567,195130226.90407205
2028,-0.15292435754847697,0.007147796611028778,-0.16414208628330515,-0.15846075898491416,-0.1527586295260833,-0.14774428633460357,-0.14184293225099912,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.843566794155324,0.00044713825313761187,6.842816861839461,6.843238620691304,6.84358460910449,6.843907270805028,6.844255574688683,170.79028685189232,0.011158928204083492,170.77157129621813,170.78209684779893,170.790731447579,170.79878389830367,170.80747628372055,6779.90769720418,34.0267968623209,6723.156928685325,6755.542066644761,6780.333179018212,6804.818767452107,6834.286035740482,79.87413637627994,0.4459399843699175,79.14193038915664,79.54908351596094,79.8835751529674,80.19165430507374,80.57867109830357,7.288703812877743,0.03618903522410826,7.228182305194098,7.263014438042737,7.289153295549619,7.314792432092659,7.34656175153867,230486307.45234522,1144384.1474708407,228572472.12776983,229673947.76556265,230500521.17318827,231311292.20460692,232315914.33185646
2029,1.0679694895403604,0.012635174504282814,1.048169400270802,1.0586913934280313,1.0666817229923047,1.077296280831309,1.08919407116436,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.83675826192537,0.0007574996951055084,6.83554296942752,6.836161062218228,6.836788597400103,6.837313956071546,6.837955853617887,170.62037089906087,0.01890440966073207,170.59004166277813,170.6054669882263,170.62112796107073,170.63423898356743,170.6502583882677,6087.095514571091,30.93717586526897,6035.75339467088,6066.176397631246,6088.096529193761,6109.882304615419,6135.118517436585,34.85529610296101,0.18481903323353902,34.5487396923577,34.72292973194666,34.855283389055266,34.99310795253957,35.14970065518081,7.070110719789313,0.03591797644682259,7.010632117849828,7.045828464060293,7.071083209828453,7.096502485590827,7.1256714630737745,222963011.65927553,1132709.3052269975,221087294.46851215,222197246.44260538,222993680.10515007,223795302.3855923,224715175.25949457
2030,-1.1763502431331594,0.00594641963363877,-1.1854589520141083,-1.1805351833132793,-1.1763341132148988,-1.1723931602926663,-1.1666016166210231,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.884306636865237,0.0012773815306044278,6.882244431862179,6.883219828683554,6.88424572846626,6.88528279920124,6.886310753183284,171.80700366521663,0.03187875045181972,171.75553860399748,171.77988092546926,171.80548361532965,171.83136509112154,171.85701904625114,5638.380882080623,26.745725420035324,5595.7509599644245,5618.139594773361,5636.943662917878,5658.563860516062,5685.462641648284,37.536115172915274,0.19551398020025784,37.23259942279304,37.382888118320075,37.51957817318732,37.68524703188204,37.8779971513063,6.5328404900927755,0.030962055101557615,6.483793749777558,6.50937641493684,6.530627426816016,6.5558412846904766,6.587560667194567,206019657.69556555,976419.3696827202,204472919.69298506,205279694.62144822,205949866.5320699,206745010.75399885,207745313.20064786
2031,-0.8530800885907763,0.005555925994629263,-0.8619024110215235,-0.8571257586419976,-0.853146014352238,-0.8497261520530569,-0.843557986657665,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.831932909929296,0.0013186085860720405,6.8296423695135875,6.830891022416823,6.831937678735459,6.832932029980364,6.834005758989081,170.4999478395132,0.03290762630576454,170.44278436520057,170.47394615464995,170.50006685139653,170.52488220564922,170.5516785372868,5859.915508059057,28.140308478192036,5813.342828272519,5840.614868159553,5859.700929517705,5881.0020125682,5905.842892851249,28.576476867088452,0.14531812144148043,28.335709390918904,28.472779426258647,28.574512856928813,28.688037097159402,28.818269939136528,6.77786777351928,0.03248437483189317,6.7241694686335265,6.755693059260929,6.777620205159938,6.802307795427058,6.830946194610668,213746838.10570365,1024427.2446985835,212053408.36282688,213047536.31685266,213739030.78992382,214517578.6365877,215420719.19324204
2032,-0.5933415892562943,0.005612516662595173,-0.6022948964651014,-0.5978050636734914,-0.5935493550404698,-0.5889028868717323,-0.5839771976113549,40.069999999999865,1.3500311979441904e-13,40.07,40.07,40.07,40.07,40.07,6.793951888651696,0.0015198531421154985,6.791306948083764,6.792790001322613,6.794000450450866,6.7950447379950765,6.796319016099086,169.55208107441229,0.03792995113839487,169.48607307421423,169.52308463495416,169.55329299852426,169.57935457936304,169.61115587968771,6490.3758918418,31.579204102465944,6437.8127482305745,6468.573434366297,6489.319665019257,6513.241981877029,6541.881835168986,45.36180333961848,0.25967839111212065,44.935488858315,45.176136527129025,45.3783654807616,45.557470182621095,45.75666663465988,7.529339400490343,0.03658630821944268,7.468522776694351,7.504026345756143,7.528097464398018,7.555932943218141,7.589085776169933,238095782.2580657,1156946.8730385038,236172614.65373945,237295322.71603906,238056509.2581799,238936733.90362135,239985106.04835606
2033,0.1942440887639774,0.007892589744717396,0.18296688046570517,0.18687864824453668,0.19464419986206566,0.20037069628209483,0.2069980216394768,40.018280000000225,0.0051226555613286505,40.0,40.02,40.02,40.02,40.02,6.767732329643764,0.0017421876697384308,6.764706974557516,6.7664150315904275,6.767791364750179,6.769027018339052,6.770441826203619,169.11602175024382,0.03560985242675025,169.0652492137433,169.0857846743419,169.1136766710115,169.14110490602332,169.17645742637728,4980.566678469313,24.013725218980746,4940.055230857668,4963.410077656568,4980.102718417904,4998.626653025759,5020.034712797557,27.611391349999366,0.14377683938050062,27.37542640692496,27.5107236817685,27.611871312414095,27.720419469102936,27.840754883839473,5.803770294137229,0.028168368602729185,5.756614329711113,5.784020169997568,5.802674554713279,5.82481992107129,5.849980972164651,183027699.99591163,888317.6722556676,181540589.5017697,182404860.0810433,182993144.75743794,183691521.0309042,184484999.93818447
2034,0.8917130373744747,0.01035830739592669,0.8764166688428426,0.8835803636406455,0.8910040513028606,0.8996866664161326,0.9089943404723771,40.018280000000225,0.0051226555613286505,40.0,40.02,40.02,40.02,40.02,6.776369367250978,0.0020793830277080695,6.772842093476482,6.774713528446055,6.776465497095558,6.777865660747851,6.779636172721769,169.33184851553722,0.04344963787546237,169.27281168048552,169.2946088365999,169.32697394041872,169.3619605384271,169.40620121743552,4744.393462099881,23.44868441944329,4705.045126014787,4727.922786348825,4744.145175413148,4762.113563908136,4781.998096961867,27.608070278432688,0.1709159805401898,27.32712591117056,27.487611148431725,27.62733719584475,27.73731412618495,27.881159479029268,5.529178716281096,0.027489681035979225,5.483384087144472,5.5100796861245405,5.529100092898686,5.549898895534618,5.573177046674725,174368179.99664068,866914.5811506396,172924000.57218805,173765872.9816235,174365700.52965295,175021611.5695797,175755711.34393412
2035,0.5089683433541387,0.008553642975468297,0.496748591664815,0.5013537876203185,0.5094908161222915,0.5159743193163578,0.5228457276212192,40.018280000000225,0.0051226555613286505,40.0,40.02,40.02,40.02,40.02,6.816019196733225,0.0025005794336595897,6.81186500982524,6.813953380847721,6.816104136538312,6.817874112852173,6.820006907118504,170.32264077928681,0.0534139564812766,170.2519114547301,170.27687984106,170.31744469111226,170.3616719853117,170.41496519536494,4756.701629427248,22.953379879915417,4718.2908143295745,4740.767826297058,4756.158289185736,4773.517568587775,4793.776113551998,27.72572497807348,0.14232165100468003,27.486412566666356,27.621252683310544,27.723660134081037,27.838971743139496,27.95970339218525,5.540592794551209,0.026922013622201257,5.495738319343811,5.5215100022825325,5.539357318783813,5.560151316943573,5.583933283196847,174728134.36896688,849012.621589739,173313603.63882646,174126339.43198192,174689172.40516633,175344931.93113253,176094920.01889578
