year,glacier_wide_balance_mean,glacier_wide_balance_std,glacier_wide_balance_p05,glacier_wide_balance_p25,glacier_wide_balance_p50,glacier_wide_balance_p75,glacier_wide_balance_p95,area_km2_mean,area_km2_std,area_km2_p05,area_km2_p25,area_km2_p50,area_km2_p75,area_km2_p95,volume_km3_mean,volume_km3_std,volume_km3_p05,volume_km3_p25,volume_km3_p50,volume_km3_p75,volume_km3_p95,mean_thickness_m_mean,mean_thickness_m_std,mean_thickness_m_p05,mean_thickness_m_p25,mean_thickness_m_p50,mean_thickness_m_p75,mean_thickness_m_p95,total_annual_runoff_mm_mean,total_annual_runoff_mm_std,total_annual_runoff_mm_p05,total_annual_runoff_mm_p25,total_annual_runoff_mm_p50,total_annual_runoff_mm_p75,total_annual_runoff_mm_p95,peak_daily_discharge_m3s_mean,peak_daily_discharge_m3s_std,peak_daily_discharge_m3s_p05,peak_daily_discharge_m3s_p25,peak_daily_discharge_m3s_p50,peak_daily_discharge_m3s_p75,peak_daily_discharge_m3s_p95,mean_annual_discharge_m3s_mean,mean_annual_discharge_m3s_std,mean_annual_discharge_m3s_p05,mean_annual_discharge_m3s_p25,mean_annual_discharge_m3s_p50,mean_annual_discharge_m3s_p75,mean_annual_discharge_m3s_p95,total_annual_discharge_m3_mean,total_annual_discharge_m3_std,total_annual_discharge_m3_p05,total_annual_discharge_m3_p25,total_annual_discharge_m3_p50,total_annual_discharge_m3_p75,total_annual_discharge_m3_p95
2026,-0.888475645473835,0.006603339681264129,-0.898909696336614,-0.8930650157045206,-0.8888481933854094,-0.8838923627245749,-0.8773654332995942,40.109999999999985,1.4210854715202004e-14,40.11,40.11,40.11,40.11,40.11,6.8722845819338705,3.197442310920451e-14,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,171.33594071139012,1.1084466677857563e-12,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,8299.831112555998,41.82337377172329,8229.874088598639,8270.920835943205,8299.018403240338,8330.964430472886,8368.106881963244,41.628810004067226,0.21473266004210464,41.276172922581154,41.472563366429796,41.61329658325874,41.79236821767941,41.9841682972255,9.541190504765115,0.047958349352161304,9.461206928867727,9.508030339487787,9.5403615230557,9.576957150203894,9.61972102716067,300890983.7582728,1512414.5051697597,298368621.7087726,299845244.78608686,300864840.9910846,302018920.68883,303367522.31253886
2027,-0.07202234779606731,0.008162962826520554,-0.08535345705553242,-0.07825664952476423,-0.07185377482190203,-0.06659194678379929,-0.059383568093489006,40.09000000000011,1.0658141036401503e-13,40.09,40.09,40.09,40.09,40.09,6.83267468194069,0.0002932493882109547,6.832211313527162,6.832470871433067,6.832658137365908,6.832878222107798,6.83316807817354,170.43339191670452,0.007314776458241677,170.42183371232633,170.4283080926183,170.43297923087823,170.43846899745068,170.4456991312931,6407.7564463116,31.66322149505908,6354.258889048911,6385.728102628022,6407.6437059317495,6431.046004024566,6459.394806980156,39.437810627382895,0.21762153086538558,39.0721386400651,39.29856930825003,39.443833611038826,39.59537366706796,39.802786233980974,7.3394318951229405,0.03613032214861934,7.278601114785624,7.314104179494559,7.339021467547758,7.365749365267735,7.399161380228882,231456324.24459678,1139405.8392788605,229537964.75587943,230657589.40454042,231443381.0005861,232286271.9830833,233339953.28689802
2028,-2.943010620708151,0.011590674078355706,-2.9630306748494895,-2.9513899605937683,-2.942349382211699,-2.9347319651590458,-2.925612379047302,40.07999999999994,5.684341886080802e-14,40.08,40.08,40.08,40.08,40.08,6.829464805989917,0.0006312584040978278,6.828496339771129,6.829018547259985,6.8294736970728,6.829898517972978,6.83050806089786,170.39582849276238,0.01574996018208204,170.37166516395033,170.38469429291382,170.39605032616765,170.4066496500244,170.42185780683286,9626.519704590384,48.21142063746727,9548.301912354647,9590.677254425198,9624.724247515158,9664.574554781633,9706.288997863932,44.569794524476954,0.2549010682877446,44.13647468017413,44.39734409973299,44.578948680919105,44.75459793240741,44.984979034086514,11.175719383656446,0.05593788283164455,11.085603335570033,11.13353188795092,11.173311281627893,11.220004390319474,11.268427426955057,353403068.63773763,1768890.1060553938,350553382.91872984,352068998.7735392,353326918.6721499,354803466.8324385,356334719.46614355
2029,-3.0310672909265497,0.012694125055537357,-3.052828739939054,-3.0394579273791793,-3.029316526841582,-3.02242528264886,-3.01300532421895,39.91371999999995,0.004833383907783849,39.91,39.91,39.91,39.92,39.92,6.700244153424631,0.0007813650731339779,6.699030268300573,6.699689838080344,6.700154339366241,6.700884852819957,6.701578706196454,167.868196020147,0.011551450223567013,167.84870634909245,167.85925228526725,167.8687100165216,167.87746033919473,167.8864312274714,9190.275659287849,45.7110471339492,9117.2587347772,9155.87851771923,9188.570969789176,9225.177740019999,9267.934572221895,40.787178949630125,0.23791149226082844,40.38079941831745,40.63679424222925,40.79016849412635,40.959888852062946,41.18308577426156,10.5579742230202,0.052267137972907454,10.474742893511213,10.518559507253165,10.555800128296296,10.599073915540872,10.647048329307632,332956275.09716547,1648296.4631136071,330331491.88976955,331713292.6207358,332887712.84595203,334252395.0004969,335765316.11304545
2030,-0.42583264534924725,0.005380779992926185,-0.43479544942677917,-0.4297809748784109,-0.42600647211060827,-0.422496801728625,-0.41713528636985253,39.68560000000002,0.005199999999999199,39.68,39.68,39.69,39.69,39.69,6.568742578239272,0.0011941848401211578,6.566961768414758,6.567896660915598,6.568725099986045,6.569654189545071,6.570650666102719,165.51954769522837,0.01731328537832218,165.49659570639065,165.50630727239127,165.51900272095884,165.53177476898242,165.5479187131101,5390.488267595204,26.453258140868,5345.555277232692,5371.381592120699,5390.110800159147,5409.997283082691,5433.712275802654,32.88786076733889,0.18783664203090408,32.567806907362865,32.76302184912325,32.89053357715524,33.020962065825366,33.20067414601823,6.3451869540961034,0.030853606295340844,6.292830499871212,6.323469569973823,6.345200226597503,6.367219258557172,6.3955478076915355,200101815.78437462,972999.3281298688,198450702.64393854,199416936.3586945,200102234.34597886,200796626.53785896,201689995.66336027
2031,-0.6279019525583038,0.00465565265497206,-0.6352552438543029,-0.6315176361147161,-0.6282343412286764,-0.6243735254793893,-0.6205759291976494,39.63988000000001,0.0010888526071050801,39.64,39.64,39.64,39.64,39.64,6.54999636919681,0.0013007774815781746,6.548052099906501,6.549036068835081,6.54992553892167,6.551030758914505,6.552042284877906,165.23754271843853,0.03193771607959655,165.18980010283553,165.21281707454796,165.23525577501692,165.26313720773223,165.28865501710158,6325.326854192024,31.73459505937099,6272.473634483427,6303.487703027729,6324.322650269694,6349.249080717054,6376.934164493248,33.531563344089406,0.17825814677163526,33.23223466017875,33.40177381579679,33.53508307257612,33.66087162331935,33.81283831483562,7.0910907892489545,0.03543408474436719,7.0322227241081405,7.066627030725443,7.090095684750053,7.118144737258851,7.148799959425412,223624639.12975505,1117449.2964983636,221768175.82747433,222853150.04095757,223593257.51427767,224477812.4341951,225444555.52043977
2032,-1.1032922068968902,0.0064232711178400575,-1.1134767677119206,-1.1078720305279655,-1.1042792517145659,-1.0983450577430744,-1.0921396924169502,39.56264,0.004585891407348367,39.56,39.56,39.56,39.57,39.57,6.522437870399192,0.0014576880571295595,6.520260002334849,6.521310089333008,6.522295290490936,6.523591541778179,6.524789952456794,164.86356379804494,0.02455160183270631,164.81951472029445,164.84605888101638,164.86763213263936,164.8812076492684,164.89910595950843,6042.226011307389,29.943778867108506,5992.310634248678,6020.915825642177,6041.9661701633695,6064.346909193982,6091.747938671733,33.94870619862614,0.17901358362273792,33.65070180699205,33.8289925355988,33.95179286047164,34.08042576228858,34.23761606541788,6.660534603643995,0.03254651684276968,6.606589684773853,6.637874545630302,6.659722155092771,6.68522388850346,6.714236121577147,210622089.45027176,1029198.9742088002,208916221.64779267,209905524.03173968,210596397.8772056,211402823.8918118,212320260.33096117
2033,-3.51937653584025,0.014678368975327299,-3.544374211597697,-3.528765319508147,-3.517512209016025,-3.5082611134573494,-3.498029380262722,39.49947999999998,0.011871377342162403,39.49,39.49,39.49,39.5,39.52,6.474184010376942,0.0017140940590093232,6.471558697400853,6.472840130652929,6.474006350448031,6.475511769239326,6.4770126004800295,163.90555352778946,0.021870503754273872,163.8657332105132,163.89096253594641,163.90882645424972,163.92292270218377,163.93705476695922,9122.774054209682,44.74453031691507,9051.253029992353,9089.336923047736,9120.414564214148,9157.653229474912,9200.34177832615,37.66208432216403,0.21537197149918816,37.29332120372051,37.51585937476054,37.668582988183594,37.81423762866646,38.01783983746766,10.706681035141322,0.051814891313456894,10.626213629351769,10.667120046686634,10.705082948192988,10.746650517570242,10.795538341277881,337645893.12421644,1634034.4124611774,335108273.0152374,336398297.79230964,337595495.8542141,338906370.72209513,340448097.1305393
2034,-3.07231017368598,0.015307081547678486,-3.0976390901163886,-3.0817545676059126,-3.071403046315213,-3.0610273647391026,-3.049522159057261,39.19940000000001,0.0023748684174088037,39.19,39.2,39.2,39.2,39.2,6.32328635206952,0.002246510051829233,6.3199384545800825,6.321649565801147,6.323167907178208,6.325065695109768,6.326948814983578,161.31079330555536,0.053402895889596354,161.24028603428422,161.26657055615175,161.30530375454612,161.35371671198388,161.40175548427496,8495.68883478093,42.53170287142058,8429.006160728319,8463.624227688668,8492.841211030087,8527.958756268188,8570.47127911652,40.72363633408677,0.2149040885753983,40.399344341667096,40.5612647714491,40.71290263891232,40.884578334512874,41.098302935913175,9.799416145436398,0.04888145772222867,9.723002706352665,9.762336453383979,9.796216573572135,9.8365346988369,9.883724521834342,309034387.562482,1541525.6507282036,306624613.3475377,307865042.39391714,308933485.86417085,310204958.26252043,311693136.52056783
2035,-1.4032668901933902,0.006845821194451283,-1.4143870819750661,-1.4079258004257253,-1.4029576117385507,-1.3984892728820164,-1.3921775257908162,38.934280000000015,0.006105866031939228,38.93,38.93,38.93,38.94,38.94,6.191944100595883,0.0026625800223819573,6.187935274728358,6.190121027936941,6.191649452489701,6.193944364751916,6.196286462406863,159.03578794546442,0.04897742424381342,158.96461421478702,159.00489124659248,159.0309960196895,159.06379981386533,159.1239461326878,8021.821832114811,38.925413209265024,7958.668033773257,7993.612311216435,8019.241930410877,8051.208280273069,8087.683578000923,27.23153485702553,0.13503233773095222,27.00303200016587,27.135054238397032,27.234032193631023,27.331571310232494,27.453704594596974,9.204446413466574,0.04388997509319897,9.133529084659552,9.171950188052495,9.201959379069216,9.238325506352247,9.27743426444563,290271422.09508187,1384114.2545391242,288034973.21382356,289246621.1304235,290192990.9783268,291339833.1683245,292573166.96355736
