year,glacier_wide_balance_mean,glacier_wide_balance_std,glacier_wide_balance_p05,glacier_wide_balance_p25,glacier_wide_balance_p50,glacier_wide_balance_p75,glacier_wide_balance_p95,area_km2_mean,area_km2_std,area_km2_p05,area_km2_p25,area_km2_p50,area_km2_p75,area_km2_p95,volume_km3_mean,volume_km3_std,volume_km3_p05,volume_km3_p25,volume_km3_p50,volume_km3_p75,volume_km3_p95,mean_thickness_m_mean,mean_thickness_m_std,mean_thickness_m_p05,mean_thickness_m_p25,mean_thickness_m_p50,mean_thickness_m_p75,mean_thickness_m_p95,total_annual_runoff_mm_mean,total_annual_runoff_mm_std,total_annual_runoff_mm_p05,total_annual_runoff_mm_p25,total_annual_runoff_mm_p50,total_annual_runoff_mm_p75,total_annual_runoff_mm_p95,peak_daily_discharge_m3s_mean,peak_daily_discharge_m3s_std,peak_daily_discharge_m3s_p05,peak_daily_discharge_m3s_p25,peak_daily_discharge_m3s_p50,peak_daily_discharge_m3s_p75,peak_daily_discharge_m3s_p95,mean_annual_discharge_m3s_mean,mean_annual_discharge_m3s_std,mean_annual_discharge_m3s_p05,mean_annual_discharge_m3s_p25,mean_annual_discharge_m3s_p50,mean_annual_discharge_m3s_p75,mean_annual_discharge_m3s_p95,total_annual_discharge_m3_mean,total_annual_discharge_m3_std,total_annual_discharge_m3_p05,total_annual_discharge_m3_p25,total_annual_discharge_m3_p50,total_annual_discharge_m3_p75,total_annual_discharge_m3_p95
2026,-0.5000672350857918,0.005884884370484253,-0.5096145284402687,-0.5045210520861135,-0.5000776728178031,-0.49563248718599107,-0.4906870308572919,40.109999999999985,1.4210854715202004e-14,40.11,40.11,40.11,40.11,40.11,6.8722845819338705,3.197442310920451e-14,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,6.8722845819339025,171.33594071139012,1.1084466677857563e-12,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,171.33594071139123,7397.042775511493,36.96658669662742,7335.5138777134625,7371.53403528464,7396.013687525462,7425.005866721325,7457.995255571316,44.628921886450314,0.25259668568254495,44.21602202708395,44.45329093490807,44.62781467336371,44.80964769424284,45.026040692475206,8.704919333838902,0.04353246110952639,8.632502554317666,8.674867377956895,8.703563201702014,8.737932596782548,8.776752398572073,274518336.1119435,1372839.6935500242,272234600.55296195,273570617.63124865,274475569.12887466,275559442.37213445,276783663.6413689
2027,-1.5933331072518067,0.007179714350723143,-1.6046376148552182,-1.5982903160510584,-1.5936327519991749,-1.5882115584733922,-1.5816926060760037,40.100000000000186,1.8474111129762605e-13,40.1,40.1,40.1,40.1,40.1,6.849989814495424,0.00026223874239285306,6.849564373646478,6.849791346132159,6.849989349375374,6.850187433112692,6.850407809617403,170.82268864078367,0.006539619511043506,170.8120791433037,170.81773930504139,170.8226770417799,170.82761678585268,170.83311245928687,6150.993795871006,29.51573049707153,6103.840656635872,6129.147934197244,6148.81643495096,6173.265071897575,6201.926180948933,29.510217669956127,0.1489910392291409,29.286661870027828,29.40118416820433,29.49554426520639,29.62466325307887,29.77386320619351,7.113094875181607,0.034099053199911425,7.058661074482511,7.0878962937576695,7.110451810400124,7.138862570060521,7.172489656736272,224318559.9837272,1075347.7417124063,222601935.64488047,223523897.51994187,224235208.2927783,225131170.00942856,226191633.81483507
2028,-0.6036322896494781,0.005838502385474809,-0.6127670600635535,-0.6080056782409464,-0.6038315546407722,-0.5992562557423347,-0.5939185219604559,40.020000000000245,2.4158453015843406e-13,40.02,40.02,40.02,40.02,40.02,6.779380600660976,0.00046371722560092286,6.778646394257458,6.779036314125167,6.7793547249226975,6.779727283313345,6.780171801326355,169.39981510896985,0.011587137071486365,169.38146912187554,169.39121224700568,169.39916853879805,169.40847784391164,169.41958524053862,6945.14455680601,34.65567249459874,6887.181428445063,6920.831949758943,6944.585365623043,6971.034567844767,7002.0377566224215,34.4753420323404,0.17843908134870717,34.1775604113177,34.35147478936778,34.47478973853766,34.60999450979923,34.764746005525495,7.866272707050916,0.03911662156743501,7.801203056187998,7.839268590807724,7.865397432371051,7.895587617413026,7.930787719825854,248750422.05144688,1236961.4538540558,246692763.52399936,247896487.08595818,248722743.7654103,249677429.87288165,250790541.59142107
2029,-1.7993330553218567,0.00712713545899408,-1.810722679080577,-1.804170528705527,-1.799883354997308,-1.7938688618726095,-1.7877466279897167,39.979999999999755,2.4158453015843406e-13,39.98,39.98,39.98,39.98,39.98,6.752572622340834,0.0006766683243446339,6.751476483098482,6.752057941470472,6.7524880036419805,6.753087985450309,6.753726089528971,168.89876494099136,0.016925170693962578,168.87134775133774,168.88589148250304,168.89664841525712,168.91165546398972,168.92761604624738,8902.073097287448,44.63895472818902,8828.312601912172,8871.131054646761,8900.858387906015,8935.916739845332,8974.319348460447,32.902696398954696,0.18330831602093522,32.595856274175596,32.79180275054235,32.905807201586576,33.035651258871376,33.21372637710361,10.224189859326774,0.051203417022403316,10.139983971327206,10.188619595699919,10.223118553033931,10.262750571404695,10.30732604048869,322430051.40372926,1614750.9592185111,319774534.51977473,321308307.5699926,322396266.6884781,323646102.0198184,325051834.0128513
2030,-0.9909308043636672,0.00457964284076202,-0.9983724144731831,-0.9940951184348554,-0.9908950822385368,-0.9874274451527956,-0.9835211341145929,39.84040000000011,0.001959591794226151,39.84,39.84,39.84,39.84,39.84,6.673367637958322,0.0009117158460106868,6.671994484667198,6.672711143526498,6.673315386604761,6.674113724035708,6.674864077197874,167.50252596507448,0.0208517447440678,167.46974108100395,167.48772950618718,167.50237588185752,167.51793806416984,167.53758845356765,5887.101408966537,28.64559943580095,5839.010381952488,5867.861170103069,5886.287018211199,5908.6181093064515,5933.890707075259,23.684538284551532,0.13839575935667553,23.460897718444873,23.588323694052615,23.697302850267675,23.78734563248432,23.904970131033224,6.8807958844113335,0.03346199861502361,6.824505174965398,6.858195166530478,6.879783899886492,6.905944441331989,6.935464603757143,216992779.01079565,1055257.5883233834,215217595.19770882,216280042.77170515,216960865.06682044,217785863.9018456,218716811.74408522
2031,-0.3926322210240363,0.0066991597560224865,-0.40373847260673207,-0.3974018572801098,-0.39350832550542536,-0.3870995313736374,-0.3817874696385503,39.76012000000017,0.001088852607105853,39.76,39.76,39.76,39.76,39.76,6.629741448562268,0.0010968404242824995,6.628093398345018,6.6289235853232,6.62965279209075,6.6306161656337395,6.631544528965514,166.74349689461764,0.026768723833021646,166.70255026018657,166.7234302143662,166.74177042481767,166.76557966334764,166.78803083400166,5749.983982789752,27.71748355318136,5703.903773116632,5731.026061741456,5748.793037606162,5770.6759511617765,5795.767544662377,33.71957836792536,0.17895134273997745,33.419141178775305,33.59168759713822,33.72165067878694,33.84997046300216,34.00537066184355,6.665379052826361,0.032083920587989555,6.6119846121569354,6.643532088818002,6.6640166988044545,6.689202960179671,6.718362105047397,210199393.80993178,1011798.5196628377,208515546.7289811,209510427.9529645,210156430.6134973,210950704.5522261,211870267.3447747
2032,-0.652932976215945,0.005703342556576259,-0.6623201413729786,-0.6570932184681489,-0.6529811750555914,-0.6491031152008566,-0.6431047990304752,39.74091999999985,0.0028902595039194427,39.74,39.74,39.74,39.74,39.75,6.612412939832151,0.0013376265224105623,6.610234742249101,6.611439065911983,6.612309300326212,6.613431962518019,6.614617685493486,166.38801819971712,0.028676443959962244,166.33705944260447,166.36736451716115,166.38926271580806,166.40995220364877,166.43242296151854,6251.61851620031,30.494641185338914,6201.80056415144,6229.439197876133,6250.022845155087,6275.599311136074,6302.7530073587295,32.4716009065992,0.16534962375030748,32.20679490950027,32.349784671268,32.46593169035913,32.59775402525524,32.75582629601706,7.206630488710709,0.035072549727996234,7.149350913074293,7.180783743456164,7.204803639194759,7.2340198039806705,7.265589917807578,227890951.96620563,1109078.1965185872,226079634.3136005,227073615.8490682,227833182.60007238,228757067.84939837,229755390.61687836
2033,-0.3126877210736045,0.0043863715543400236,-0.31989067818971345,-0.3158593172004836,-0.312825914651921,-0.3093452169537624,-0.30557540865938265,39.700000000000024,2.1316282072803006e-14,39.7,39.7,39.7,39.7,39.7,6.583629771566552,0.0015556010301218564,6.581111857089626,6.582485941778156,6.5834955784677796,6.584810675818048,6.586273902704771,165.8345030621298,0.0391839050408522,165.77107952366816,165.80569122866893,165.83112288331938,165.8642487611599,165.90110586158113,5066.89784120365,24.982475065810107,5025.435241538468,5049.764766316721,5066.005393991376,5085.550501043943,5107.87229855331,36.91947838959906,0.19175505511983956,36.60147351817475,36.774900903322006,36.9099523637832,37.07219972525587,37.237118073564574,5.720424909358052,0.02812396613032632,5.6736385695932015,5.700982601135625,5.719418428058173,5.741693540093345,5.766627191494551,180399319.94151554,886917.3958859686,178923865.93069118,179786187.30941308,180367579.54724255,181070047.48038372,181856355.11097214
2034,-0.22539930424660742,0.0077177161949502126,-0.23784537403160114,-0.23066486479982853,-0.2250523778839072,-0.2202756962517407,-0.21310410857545187,39.67284000000008,0.00476806040230102,39.67,39.67,39.67,39.68,39.68,6.569839292450802,0.0017201239221196374,6.566999909258918,6.568571232278323,6.569681692445858,6.57116798727168,6.572743956669033,165.60042646191306,0.030058992108239813,165.54070857723514,165.5803184340389,165.60548564658,165.6234087899603,165.63976305309015,7323.887565026511,37.207073987994235,7261.548449111657,7297.404311430153,7323.810355345906,7350.925632686089,7384.492761958138,50.56345377913003,0.2796253627598911,50.0959544722884,50.36705666759132,50.567801876869,50.76246225711275,51.015688023009005,8.040283609136285,0.04063045386347269,7.971588169836092,8.011838013825027,8.040359950231196,8.069097468312007,8.106000919186467,253558383.897722,1281321.9930384748,251392004.52395102,252661323.60398608,253560791.39049095,254467057.76068747,255630844.98746446
2035,-2.0984233296155432,0.008293726219075075,-2.112858111540457,-2.103760181479605,-2.098657291981536,-2.0927094849536374,-2.0848615599957685,39.65915999999988,0.00304867184196609,39.65,39.66,39.66,39.66,39.66,6.559907719122699,0.001981950839103135,6.5565982303930825,6.558456859001237,6.5597349950883554,6.561511177468893,6.5631496475634865,165.40712601456158,0.04443053962116721,165.3496072701329,165.37019074530974,165.3992686608259,165.44405389482836,165.4853668069462,7039.246485449816,34.61023511572754,6982.261281235242,7015.566012853684,7037.385896355034,7065.66482047123,7096.28411386985,51.72861091448123,0.2843304319686062,51.25859759518315,51.521631728857834,51.73655131697021,51.932442496771486,52.1777393824305,7.728666369031079,0.03780923885732027,7.666317033329414,7.702870675536226,7.7267957207701485,7.757266895912666,7.790522190013827,243731222.613764,1192352.1566044518,241764973.96307638,242917729.62371042,243672229.8502074,244633168.82950187,245681907.78427604
